player_id,player_name,bucket,matches_played,first_match_date,last_match_date,teams_played_for,competitions_played,innings_batted,runs,balls_faced,dismissals,not_outs,batting_average,batting_strike_rate,highest_score,hundreds,fifties,thirties,ducks,fours,sixes,boundary_percentage,batting_dot_ball_pct,pp_runs,pp_balls_faced,pp_strike_rate,middle_runs,middle_balls_faced,middle_strike_rate,death_runs,death_balls_faced,death_strike_rate,recent_runs,recent_average,recent_strike_rate,innings_bowled,balls_bowled,runs_conceded,wickets,bowling_average,economy,bowling_strike_rate,best_bowling,four_wicket_hauls,five_wicket_hauls,dot_ball_pct,fours_conceded,sixes_conceded,boundary_pct_conceded,pp_wickets,pp_balls_bowled,pp_economy,middle_wickets,middle_balls_bowled,middle_economy,death_wickets,death_balls_bowled,death_economy,recent_wickets,recent_economy,recent_bowling_average,catches,run_outs,stumpings
14f96089,A Zampa,INTL_T20,116,2016-03-04,2026-06-21,Australia,,27,70,90,16,11,4.38,77.78,13,0,0,0,5,6,0,34.29,51.11,0,0,,8,12,66.67,62,78,79.49,17,2.83,65.38,113,2491,3063,149,20.56,7.38,16.72,5/19,5,1,33.72,168,143,12.48,7,120,8.9,104,1995,7.1,38,376,8.36,19,7.12,14.0,16,0,0
b8d490fd,AJ Finch,INTL_T20,103,2011-01-12,2022-10-31,Australia,,103,3120,2189,91,12,34.29,142.53,172,2,19,28,8,309,125,63.65,37.64,1668,1220,136.72,1151,814,141.4,301,155,194.19,243,27.0,115.17,2,12,27,0,,13.5,,0/9,0,0,33.33,3,2,41.67,0,0,,0,12,13.5,0,0,,0,13.5,,50,3,0
ff1e12a0,AJ Turner,INTL_T20,19,2017-02-17,2023-09-03,Australia,,14,110,131,9,5,12.22,83.97,24,0,0,0,1,4,2,25.45,41.98,0,0,,43,54,79.63,67,77,87.01,84,16.8,80.0,6,78,82,4,20.5,6.31,19.5,2/12,0,0,44.87,7,1,10.26,2,48,6.25,0,18,7.67,2,12,4.5,4,6.31,20.5,7,0,0
7c7d63a2,AJ Tye,INTL_T20,32,2016-01-29,2021-08-07,Australia,,14,83,76,8,6,10.38,109.21,20,0,0,0,3,5,4,53.01,47.37,0,0,,10,7,142.86,73,69,105.8,59,11.8,103.51,31,683,997,47,21.21,8.76,14.53,4/23,1,0,34.55,79,43,17.86,4,138,7.87,13,222,8.43,30,323,9.36,15,8.91,20.6,10,0,0
6834d1f2,B Stanlake,INTL_T20,19,2017-02-17,2019-11-08,Australia,,2,9,12,1,1,9.0,75.0,7,0,0,0,0,0,1,66.67,66.67,0,0,,0,0,,9,12,75.0,9,9.0,75.0,19,420,544,27,20.15,7.77,15.56,4/8,1,0,46.43,53,21,17.62,15,240,8.12,6,138,7.3,6,42,7.29,13,6.62,18.85,0,0,0
cfad138c,CK Kapugedera,INTL_T20,41,2006-06-15,2017-04-06,Sri Lanka,,36,675,571,30,6,22.5,118.21,50,0,1,9,0,56,24,54.52,40.28,58,60,96.67,338,332,101.81,279,179,155.87,191,21.22,116.46,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,16,5,0
770494eb,DAS Gunaratne,INTL_T20,12,2016-02-14,2017-12-24,Sri Lanka,,12,225,178,9,3,25.0,126.4,84,0,2,1,2,19,6,49.78,30.9,22,26,84.62,121,105,115.24,82,47,174.47,211,26.38,131.88,10,149,204,5,40.8,8.21,29.8,1/11,0,0,23.49,10,9,12.75,0,12,6.0,5,125,8.5,0,12,7.5,5,8.21,40.8,5,1,0
5a22d91c,EMDY Munaweera,INTL_T20,13,2012-09-18,2017-10-29,Sri Lanka,,13,215,164,12,1,17.92,131.1,53,0,1,2,1,25,7,66.05,45.12,168,121,138.84,47,43,109.3,0,0,,181,18.1,142.52,5,60,92,1,92.0,9.2,60.0,1/26,0,0,23.33,6,4,16.67,0,48,10.12,1,12,5.5,0,0,,1,9.2,92.0,1,0,0
808f425a,JP Faulkner,INTL_T20,24,2012-02-01,2017-02-22,Australia,,18,159,138,11,7,14.45,115.22,41,0,0,1,0,7,5,36.48,30.43,0,0,,43,49,87.76,116,89,130.34,62,8.86,129.17,24,515,684,36,19.0,7.97,14.31,5/27,0,1,29.32,53,24,14.95,7,120,6.4,5,162,6.7,24,233,9.66,18,7.85,15.78,11,0,0
530b20e3,JRMVB Sanjaya,INTL_T20,8,2017-02-17,2017-10-29,Sri Lanka,,5,20,18,3,2,6.67,111.11,6,0,0,0,0,3,0,60.0,44.44,0,0,,0,0,,20,18,111.11,20,6.67,111.11,8,173,250,9,27.78,8.67,19.22,2/20,0,0,31.79,15,10,14.45,3,84,7.07,3,48,8.12,3,41,12.59,9,8.67,27.78,1,0,0
469ea22b,KMDN Kulasekara,INTL_T20,57,2008-10-11,2017-04-06,Sri Lanka,,29,196,178,21,8,9.33,110.11,31,0,0,1,4,14,5,43.88,34.27,0,4,0.0,9,11,81.82,187,163,114.72,67,9.57,108.06,56,1183,1464,64,22.88,7.43,18.48,4/31,2,0,42.52,156,34,16.06,34,732,6.2,6,77,8.49,24,374,9.59,11,8.2,26.09,17,7,0
b970a03f,M Klinger,INTL_T20,3,2017-02-17,2017-02-22,Australia,,3,143,112,3,0,47.67,127.68,62,0,1,2,0,12,2,41.96,31.25,63,49,128.57,63,54,116.67,17,9,188.89,143,47.67,127.68,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,2,0,0
32198ae0,MC Henriques,INTL_T20,28,2009-02-15,2026-08-21,"Australia, Portugal",,25,551,400,20,5,27.55,137.75,111,1,3,3,0,35,26,53.72,31.25,103,59,174.58,321,261,122.99,127,80,158.75,257,28.56,146.86,10,138,195,7,27.86,8.48,19.71,3/22,0,0,31.88,16,8,17.39,2,24,8.25,4,96,7.06,1,18,16.33,7,8.48,27.86,9,2,0
45963d9e,N Dickwella,INTL_T20,28,2016-02-09,2021-06-26,Sri Lanka,,26,480,366,26,0,18.46,131.15,68,0,1,6,2,61,9,62.08,41.26,291,213,136.62,170,138,123.19,19,15,126.67,190,19.0,124.18,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,12,0,1
79aad751,PADLR Sandakan,INTL_T20,20,2017-01-22,2021-06-26,Sri Lanka,,7,23,38,3,4,7.67,60.53,10,0,0,0,0,2,0,34.78,57.89,0,0,,2,8,25.0,20,29,68.97,23,7.67,60.53,20,460,557,23,24.22,7.27,20.0,4/23,1,0,32.83,33,19,11.3,0,6,9.0,16,378,7.35,6,40,4.5,11,7.53,25.09,6,0,0
ded9240e,PJ Cummins,INTL_T20,55,2011-10-13,2024-06-24,Australia,,22,155,122,13,9,11.92,127.05,28,0,0,0,3,11,7,55.48,39.34,0,0,,28,33,84.85,127,89,142.7,93,23.25,125.68,56,1212,1518,63,24.1,7.51,19.24,3/15,0,0,41.01,147,40,15.43,24,486,7.6,14,318,6.64,25,408,8.09,12,8.41,25.92,15,1,0
f78e7113,S Prasanna,INTL_T20,20,2013-12-13,2017-10-29,Sri Lanka,,20,214,161,14,6,15.29,132.92,37,0,0,1,0,13,13,60.75,40.99,9,9,100.0,77,61,126.23,128,91,140.66,148,24.67,138.32,18,300,359,10,35.9,7.18,30.0,2/45,0,0,32.0,20,11,10.33,3,36,9.33,6,234,6.95,1,30,6.4,6,7.03,35.17,4,1,0
a12e1d51,SL Malinga,INTL_T20,83,2006-06-15,2020-03-06,Sri Lanka,,31,136,161,21,10,6.48,84.47,27,0,0,0,8,9,5,48.53,54.04,0,0,,9,23,39.13,119,132,90.15,58,8.29,96.67,85,1812,2244,108,20.78,7.43,16.78,5/6,1,2,37.09,206,39,13.52,28,672,6.46,22,373,7.16,57,725,8.22,10,8.26,31.4,21,9,0
bf7842c9,TAM Siriwardana,INTL_T20,21,2015-07-30,2017-04-06,Sri Lanka,,19,275,208,16,3,17.19,132.21,42,0,0,3,4,16,12,49.45,26.92,23,15,153.33,180,133,135.34,72,60,120.0,101,11.22,118.82,12,132,190,8,23.75,8.64,16.5,2/17,0,0,34.09,12,11,17.42,0,0,,8,126,8.43,0,6,13.0,5,8.25,26.4,6,0,0
5748e866,TD Paine,INTL_T20,12,2009-08-30,2017-10-10,"Australia, ICC World XI",,9,82,77,8,1,10.25,106.49,25,0,0,0,2,7,3,56.1,44.16,18,13,138.46,42,45,93.33,22,19,115.79,82,10.25,106.49,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,11,2,2
12b610c2,TM Head,INTL_T20,52,2016-01-26,2026-02-20,Australia,,50,1335,849,46,4,29.02,157.24,91,0,6,15,1,149,60,71.61,38.52,875,515,169.9,309,247,125.1,151,87,173.56,185,18.5,154.17,4,36,56,1,56.0,9.33,36.0,1/16,0,0,19.44,4,2,16.67,0,6,10.0,1,30,9.2,0,0,,1,9.33,56.0,9,1,0
7ed9fd56,WU Tharanga,INTL_T20,28,2006-06-15,2018-03-16,Sri Lanka,,27,461,371,26,1,17.73,124.26,54,0,1,4,3,50,12,59.0,44.47,302,251,120.32,102,92,110.87,57,28,203.57,191,21.22,134.51,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,2,1,0
5d1e7582,BKG Mendis,INTL_T20,102,2016-07-05,2026-06-14,Sri Lanka,,104,2510,1934,97,7,25.88,129.78,86,0,19,17,8,220,97,58.25,37.75,1283,1021,125.66,1096,815,134.48,120,83,144.58,295,32.78,120.41,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,40,19,19
272d796e,BR Dunk,INTL_T20,5,2014-11-05,2017-02-22,Australia,,5,99,69,5,0,19.8,143.48,32,0,0,1,0,8,6,68.69,47.83,63,39,161.54,36,30,120.0,0,0,,99,19.8,143.48,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,5,1,2
1ee08e9a,JA Richardson,INTL_T20,18,2017-02-19,2022-06-11,Australia,,8,45,51,3,5,15.0,88.24,11,0,0,0,1,3,1,40.0,45.1,0,0,,7,14,50.0,38,37,102.7,45,15.0,88.24,18,396,556,19,29.26,8.42,20.84,3/26,0,0,38.64,49,23,18.18,6,186,8.32,3,66,7.82,10,144,8.83,10,8.72,31.4,10,0,0
3ff033bb,MD Shanaka,INTL_T20,126,2015-08-01,2026-06-14,Sri Lanka,,118,1980,1534,93,25,21.29,129.07,76,0,9,15,16,133,111,60.51,39.57,21,28,75.0,870,809,107.54,1056,665,158.8,265,29.44,172.08,72,779,1066,42,25.38,8.21,18.55,3/16,0,0,29.91,90,27,15.02,3,103,8.27,17,480,7.55,21,190,9.79,5,8.24,34.6,47,5,0
e957b38f,AR McBrine,INTL_T20,25,2014-03-17,2022-08-05,Ireland,,15,145,115,9,6,16.11,126.09,36,0,0,1,0,12,4,49.66,30.43,1,1,100.0,25,27,92.59,119,87,136.78,113,16.14,126.97,20,342,400,19,21.05,7.02,18.0,2/7,0,0,34.21,15,22,10.82,4,78,10.31,11,246,5.83,4,18,9.0,10,6.77,21.0,10,0,0
f6c2659d,Aizaz Khan,INTL_T20,109,2013-11-15,2026-06-22,Hong Kong,,90,1118,1039,73,17,15.32,107.6,48,0,0,10,10,75,29,42.4,38.11,160,189,84.66,465,511,91.0,493,339,145.43,107,13.38,100.0,97,1751,2289,104,22.01,7.84,16.84,4/26,2,0,37.06,174,83,14.68,25,432,7.17,40,822,7.12,39,497,9.62,8,8.44,28.5,27,10,0
552b228c,Anshuman Rath,INTL_T20,82,2015-07-11,2026-06-22,Hong Kong,,82,2353,1849,73,9,32.23,127.26,140,2,12,15,2,235,58,54.74,35.48,1021,881,115.89,1015,785,129.3,317,183,173.22,410,58.57,165.99,15,238,309,7,44.14,7.79,34.0,3/6,0,0,31.93,20,13,13.87,0,6,3.0,5,210,7.89,2,22,8.18,6,9.32,33.67,29,2,0
