Year,Player,Team (as recorded),Team (current name),Role,Type,Base Price (INR Cr),Price / Retention (INR Cr),Price-to-Base Multiplier (x),Base Price (INR),Price (INR),USD->INR Rate Used (if 2011-13),YearPriceKey (helper),player_id,matched_registry_name
2011,Gautam Gambhir,Kolkata Knight Riders,Kolkata Knight Riders,Batter,Auction,0.9,10.8,12.0,9000000,108000000,45.0,2011|10.8,242a9261,Gaurav Gambhir
2011,Yusuf Pathan,Kolkata Knight Riders,Kolkata Knight Riders,All-Rounder,Auction,1.35,9.45,7.0,13500000,94500000,45.0,2011|9.45,3c6ffae8,YK Pathan
2011,Robin Uthappa,Pune Warriors India,Pune Warriors India,Batter,Auction,0.9,9.45,10.5,9000000,94500000,45.0,2011|9.45,1c17e270,RV Uthappa
2011,Rohit Sharma,Mumbai Indians,Mumbai Indians,Batter,Auction,0.9,9.0,10.0,9000000,90000000,45.0,2011|9,2278c4ca,R Sharma
2011,Irfan Pathan,Delhi Daredevils,Delhi Capitals,All-Rounder,Auction,0.9,8.55,9.5,9000000,85500000,45.0,2011|8.55,5fa06777,IK Pathan
2011,Mahendra Singh Dhoni,Chennai Super Kings,Chennai Super Kings,Wicketkeeper,Retained,2.0,8.1,4.05,20000000,81000000,45.0,2011|8.1,4a8a2e3b,MS Dhoni
2011,Virender Sehwag,Delhi Daredevils,Delhi Capitals,Batter,Retained,2.0,8.1,4.05,20000000,81000000,45.0,2011|8.1,8ba8195d,V Sehwag
2011,Sachin Tendulkar,Mumbai Indians,Mumbai Indians,Batter,Retained,2.0,8.1,4.05,20000000,81000000,45.0,2011|8.1,d2c2b2d5,SR Tendulkar
2011,Shane Warne,Rajasthan Royals,Rajasthan Royals,Bowler,Retained,2.0,8.1,4.05,20000000,81000000,45.0,2011|8.1,bb18be76,SK Warne
2011,Virat Kohli,Royal Challengers Bangalore,Royal Challengers Bengaluru,Batter,Retained,2.0,8.1,4.05,20000000,81000000,45.0,2011|8.1,ba607b88,V Kohli
2011,Yuvraj Singh,Pune Warriors India,Pune Warriors India,All-Rounder,Auction,1.8,8.1,4.5,18000000,81000000,45.0,2011|8.1,1c914163,Yuvraj Singh
2011,Saurabh Tiwary,Royal Challengers Bangalore,Royal Challengers Bengaluru,Batter,Auction,0.45,7.2,16.0,4500000,72000000,45.0,2011|7.2,709b0bac,SS Tiwary
2011,Mahela Jayawardene,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Batter,Auction,1.8,6.75,3.75,18000000,67500000,45.0,2011|6.75,d18f9182,DPMD Jayawardene
2011,David Hussey,Kings XI Punjab,Punjab Kings,Batter,Auction,0.9,6.3,7.0,9000000,63000000,45.0,2011|6.3,fd835ab3,DJ Hussey
2011,Suresh Raina,Chennai Super Kings,Chennai Super Kings,Batter,Retained,2.0,5.85,2.92,20000000,58500000,45.0,2011|5.85,1dc12ab9,SK Raina
2011,Harbhajan Singh,Mumbai Indians,Mumbai Indians,Bowler,Retained,2.0,5.85,2.92,20000000,58500000,45.0,2011|5.85,2123d0af,Hardeep Singh
2011,Shane Watson,Rajasthan Royals,Rajasthan Royals,All-Rounder,Retained,2.0,5.85,2.92,20000000,58500000,45.0,2011|5.85,4329fbb5,SR Watson
2011,Dale Steyn,Deccan Chargers,Sunrisers Hyderabad (lineage),Bowler,Auction,0.9,5.4,6.0,9000000,54000000,45.0,2011|5.4,8fd1a8f5,DW Steyn
2011,Jacques Kallis,Kolkata Knight Riders,Kolkata Knight Riders,All-Rounder,Auction,1.35,4.95,3.67,13500000,49500000,45.0,2011|4.95,86dc8f2e,JH Kallis
2011,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bengaluru,Wicketkeeper,Auction,1.8,4.95,2.75,18000000,49500000,45.0,2011|4.95,c4487b84,AB de Villiers
2011,Cameron White,Deccan Chargers,Sunrisers Hyderabad (lineage),Batter,Auction,1.35,4.95,3.67,13500000,49500000,45.0,2011|4.95,5a74e559,CJ White
