player_id,player_name,bucket,matches_played,first_match_date,last_match_date,teams_played_for,competitions_played,innings_batted,runs,balls_faced,dismissals,not_outs,batting_average,batting_strike_rate,highest_score,hundreds,fifties,thirties,ducks,fours,sixes,boundary_percentage,batting_dot_ball_pct,pp_runs,pp_balls_faced,pp_strike_rate,middle_runs,middle_balls_faced,middle_strike_rate,death_runs,death_balls_faced,death_strike_rate,recent_runs,recent_average,recent_strike_rate,innings_bowled,balls_bowled,runs_conceded,wickets,bowling_average,economy,bowling_strike_rate,best_bowling,four_wicket_hauls,five_wicket_hauls,dot_ball_pct,fours_conceded,sixes_conceded,boundary_pct_conceded,pp_wickets,pp_balls_bowled,pp_economy,middle_wickets,middle_balls_bowled,middle_economy,death_wickets,death_balls_bowled,death_economy,recent_wickets,recent_economy,recent_bowling_average,catches,run_outs,stumpings
8b054bba,AP Gillespie,OTHER_T20,11,2016-05-27,2023-06-08,North-West Warriors,Cricket Ireland Inter-Provincial Twenty20 Trophy,10,180,157,8,2,22.5,114.65,80,0,1,1,0,17,7,61.11,46.5,48,55,87.27,83,69,120.29,49,33,148.48,180,22.5,114.65,1,6,8,0,,8.0,,0/8,0,0,16.67,1,0,16.67,0,0,,0,6,8.0,0,0,,0,8.0,,1,0,0
e957b38f,AR McBrine,OTHER_T20,53,2016-05-27,2026-07-29,North-West Warriors,Cricket Ireland Inter-Provincial Twenty20 Trophy,46,679,563,32,14,21.22,120.6,52,0,1,6,2,50,26,52.43,36.59,46,64,71.88,374,334,111.98,259,165,156.97,168,28.0,133.33,49,912,1050,52,20.19,6.91,17.54,3/7,0,0,37.94,56,51,11.73,10,168,5.96,34,644,6.9,8,100,8.52,16,6.09,12.19,24,4,0
a2a0fa9a,C Dougherty,OTHER_T20,1,2016-05-27,2016-05-27,Northern Knights,Cricket Ireland Inter-Provincial Twenty20 Trophy,1,6,19,1,0,6.0,31.58,6,0,0,0,0,1,0,66.67,84.21,6,19,31.58,0,0,,0,0,,6,6.0,31.58,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,0
ab859427,DA Rankin,OTHER_T20,13,2016-05-27,2020-09-01,North-West Warriors,Cricket Ireland Inter-Provincial Twenty20 Trophy,13,237,240,13,0,18.23,98.75,67,0,1,1,0,22,5,49.79,43.75,143,142,100.7,75,84,89.29,19,14,135.71,196,19.6,97.03,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,5,0,1
2e2fe3e8,DP Hyatt,OTHER_T20,26,2013-01-25,2016-05-27,"Antigua Hawksbills, Jamaica Tallawahs, North-West Warriors, Rangpur Riders","Bangladesh Premier League, Caribbean Premier League, Cricket Ireland Inter-Provincial Twenty20 Trophy",24,381,421,18,6,21.17,90.5,42,0,0,2,2,30,10,47.24,47.74,74,108,68.52,190,239,79.5,117,74,158.11,144,18.0,78.69,4,72,101,4,25.25,8.42,18.0,2/26,0,0,37.5,9,3,16.67,0,0,,3,60,6.8,1,12,16.5,4,8.42,25.25,6,0,0
bd48593c,GE Kidd,OTHER_T20,5,2016-05-27,2017-08-11,Northern Knights,Cricket Ireland Inter-Provincial Twenty20 Trophy,2,0,2,2,0,0.0,0.0,0,0,0,0,2,0,0,,100.0,0,0,,0,0,,0,2,0.0,0,0.0,0.0,5,90,124,5,24.8,8.27,18.0,2/19,0,0,33.33,7,7,15.56,0,6,20.0,3,66,7.18,2,18,8.33,5,8.27,24.8,2,0,0
6232e1ed,GJ McCarter,OTHER_T20,28,2014-05-23,2021-06-27,"Gloucestershire, Northern Knights","Cricket Ireland Inter-Provincial Twenty20 Trophy, NatWest T20 Blast",10,126,95,6,4,21.0,132.63,42,0,0,2,2,11,6,63.49,40.0,1,5,20.0,32,33,96.97,93,57,163.16,126,21.0,132.63,26,486,629,26,24.19,7.77,18.69,5/35,0,1,38.89,66,17,17.08,9,252,8.31,9,126,6.57,8,108,7.89,8,6.21,22.5,8,0,0
91f0792f,GJ Thompson,OTHER_T20,11,2016-05-27,2019-06-24,Northern Knights,Cricket Ireland Inter-Provincial Twenty20 Trophy,10,278,178,7,3,39.71,156.18,80,0,3,1,0,29,14,71.94,38.76,7,9,77.78,170,124,137.1,101,45,224.44,278,39.71,156.18,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,6,0,0
82038f80,J Barnes,OTHER_T20,6,2016-05-27,2019-06-23,"Munster Reds, North-West Warriors",Cricket Ireland Inter-Provincial Twenty20 Trophy,2,9,7,2,0,4.5,128.57,9,0,0,0,1,0,1,66.67,42.86,0,0,,0,0,,9,7,128.57,9,4.5,128.57,6,138,219,4,54.75,9.52,34.5,2/46,0,0,40.58,21,12,23.91,2,72,8.42,0,12,9.0,2,54,11.11,4,9.52,54.75,3,1,0
75e774bd,J Holmes,OTHER_T20,2,2016-05-27,2017-06-16,Northern Knights,Cricket Ireland Inter-Provincial Twenty20 Trophy,2,1,3,2,0,0.5,33.33,1,0,0,0,1,0,0,0.0,66.67,0,0,,1,3,33.33,0,0,,1,0.5,33.33,0,0,0,0,,,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,2,0,0
