auction_name,auction_role,auction_country,player_id,matched_registry_name,tier,confidence,note
Ruturaj Gaikwad,BATTER,India,45a43fe2,RD Gaikwad,2-fuzzy,94.7,
Ravindra Jadeja,ALL-ROUNDER,India,fe93fd9d,RA Jadeja,2-fuzzy,94.1,
Shivam Dube,ALL-ROUNDER,India,a4e37e47,S Dube,1b-abbrev-exact,,
Matheesha Pathirana,BOWLER,Sri Lanka,64839cb3,M Pathirana,1b-abbrev-exact,,
MS Dhoni,WICKETKEEPER,India,4a8a2e3b,MS Dhoni,1-exact,,
Axar Patel,ALL-ROUNDER,India,2e171977,AR Patel,A-auto,,"manual: AR+surname, first-initial"
Kuldeep Yadav,BOWLER,India,8d2c70ad,Kuldeep Yadav,1-exact,,
Tristan Stubbs,WICKETKEEPER,South Africa,85b3fab2,T Stubbs,1b-abbrev-exact,,
Abishek Porel,WICKETKEEPER,India,ad3b6e95,Abishek Porel,1-exact,,
Rashid Khan,BOWLER,Afghanistan,5f547c8b,Rashid Khan,B-manual,,"manual: ICC World XI entry, Afghanistan all-rounder -- known Cricsheet quirk (played for ICC World XI exhibition side)"
Shubman Gill,BATTER,India,b4b99816,Shubman Gill,1-exact,,
B Sai Sudharsan,BATTER,India,d5130a30,B Sai Sudharsan,1-exact,,
Rahul Tewatia,ALL-ROUNDER,India,39a2dfa8,R Tewatia,1b-abbrev-exact,,
Shahrukh Khan,ALL-ROUNDER,India,7dcb9bc9,M Shahrukh Khan,B-manual,,manual: Batter; TN all-rounder
Sunil Narine,ALL-ROUNDER,West Indies,9d430b40,SP Narine,2-fuzzy,94.1,
Rinku Singh,BATTER,India,0a509d6b,RK Singh,B-manual,,manual: confirmed distinct from Kumar Kartikeya Singh/Pradyuman Kumar Singh collision
Varun Chakaravarthy,BOWLER,India,5b7ab5a9,CV Varun,B-manual,,manual: India/Bowler; surname-first name order
Andre Russell,ALL-ROUNDER,West Indies,bbd41817,AD Russell,B-manual,,manual: West Indies/All-rounder = Andre Dwayne
Harshit Rana,BOWLER,India,77b1aa15,Harshit Rana,1-exact,,
Ramandeep Singh,ALL-ROUNDER,India,be24ead0,Ramandeep Singh,1-exact,,
Nicholas Pooran,WICKETKEEPER,West Indies,3241e3fd,N Pooran,1b-abbrev-exact,,
Ravi Bishnoi,BOWLER,India,df064e1a,Ravi Bishnoi,1-exact,,
Mayank Yadav,BOWLER,India,b1ad996b,MP Yadav,A-auto,,"manual: MP+surname, first-initial"
Mohsin Khan,BOWLER,India,c33d8116,Mohsin Khan,A-auto,,manual: exact
Ayush Badoni,BATTER,India,872b03f7,A Badoni,1b-abbrev-exact,,
Jasprit Bumrah,BOWLER,India,462411b3,JJ Bumrah,2-fuzzy,94.1,
Suryakumar Yadav,BATTER,India,271f83cd,SA Yadav,B-manual,,manual: India/Batter; SU Yadav is blank-country
Hardik Pandya,ALL-ROUNDER,India,dbe50b21,HH Pandya,A-auto,,"manual: HH+surname, first-initial"
Rohit Sharma,BATTER,India,740742ef,RG Sharma,B-manual,,manual: India/Batter; exact-name rows are a blank-country Bowler + Indonesia Batter
Tilak Varma,BATTER,India,b0482a1d,Tilak Varma,1-exact,,
Shashank Singh,BATTER,India,26989d80,Shashank Singh,1-exact,,
Prabhsimran Singh,WICKETKEEPER,India,c5680204,PM Singh,A-auto,,"manual: PM+surname, first-initial"
Virat Kohli,BATTER,India,ba607b88,V Kohli,1b-abbrev-exact,,
Rajat Patidar,BATTER,India,c740ea83,RM Patidar,2-fuzzy,94.7,
Yash Dayal,BOWLER,India,7210d461,Yash Dayal,1-exact,,
Sanju Samson,WICKETKEEPER,India,a4cc73aa,SV Samson,A-auto,,"manual: SV+surname, first-initial"
Yashasvi Jaiswal,BATTER,India,6c19c6e5,YBK Jaiswal,2-fuzzy,90.0,
Riyan Parag,ALL-ROUNDER,India,04a418e8,R Parag,1b-abbrev-exact,,
Dhruv Jurel,WICKETKEEPER,India,bcf325d2,Dhruv Jurel,1-exact,,
Shimron Hetmyer,BATTER,West Indies,48a1d7b7,SO Hetmyer,2-fuzzy,94.7,
Sandeep Sharma,BOWLER,India,ce820073,Sandeep Sharma,1-exact,,
Pat Cummins,BOWLER,Australia,ded9240e,PJ Cummins,2-fuzzy,94.7,
Abhishek Sharma,ALL-ROUNDER,India,f29185a1,Abhishek Sharma,1-exact,,
Nitish Kumar Reddy,ALL-ROUNDER,India,aad0c365,Nithish Kumar Reddy,2-fuzzy,97.3,
Heinrich Klaasen,WICKETKEEPER,South Africa,235c2bb6,H Klaasen,1b-abbrev-exact,,
Travis Head,BATTER,Australia,12b610c2,TM Head,2-fuzzy,92.3,
Jos Buttler,WICKETKEEPER,England,99b75528,JC Buttler,2-fuzzy,94.7,
Shreyas Iyer,BATTER,India,85ec8e33,SS Iyer,2-fuzzy,92.3,
Rishabh Pant,BATTER,India,919a3be2,RR Pant,2-fuzzy,92.3,
Kagiso Rabada,BOWLER,South Africa,e62dd25d,K Rabada,1b-abbrev-exact,,
Arshdeep Singh,BOWLER,India,244048f6,Arshdeep Singh,1-exact,,
Mitchell Starc,BOWLER,Australia,3fb19989,MA Starc,2-fuzzy,93.3,
Yuzvendra Chahal,BOWLER,India,57ee1fde,YS Chahal,2-fuzzy,94.1,
Liam Livingstone,ALL-ROUNDER,England,50c6bc2b,LS Livingstone,A-auto,,"manual: LS+surname, first-initial"
David Miller,BATTER,South Africa,d67d5f00,DA Miller,2-fuzzy,94.1,
KL Rahul,WICKETKEEPER,India,b17e2f24,KL Rahul,1-exact,,
Mohammad Shami,BOWLER,India,8cf9814c,Mohammed Shami,2-fuzzy,92.9,
