auction_name,auction_role,auction_country,player_id,matched_registry_name,tier
Aaqib Khan,BOWLER,India,d290c5b5,Aaqib Khan,1-exact
Aaron Hardie,ALL-ROUNDER,Australia,d405c0d5,AM Hardie,2-fuzzy
Aarya Desai,BATTER,India,8053c798,Aarya Desai,1-exact
Abdul Samad,ALL-ROUNDER,India,8e514b4c,Abdul Samad,B-manual
Abhay Choudhary,ALL-ROUNDER,India,18e6906e,A Choudhary,1b-abbrev-exact
Abhijeet Tomar,BATTER,India,aa5d8c9e,A Tomar,1b-abbrev-exact
Abhilash Shetty,BOWLER,India,d0bec581,AR Shetty,2-fuzzy
Abhimanyu Easwaran,BATTER,India,10b58586,AR Easwaran,2-fuzzy
Abhinandan Singh,BOWLER,India,82c10dac,Abhinandan Singh,1-exact
Abhinav Manohar,BATTER,India,0890552f,A Manohar,1b-abbrev-exact
Abhishek Nair,BATTER,India,4ba2c04d,AJ Nair,A-auto
Abhishek Sharma,ALL-ROUNDER,India,f29185a1,Abhishek Sharma,1-exact
Abid Mushtaq,ALL-ROUNDER,India,b10e8c85,Abid Mushtaq,A-auto
Abishek Porel,WICKETKEEPER,India,ad3b6e95,Abishek Porel,1-exact
Adam Milne,BOWLER,New Zealand,350bb1b1,AF Milne,2-fuzzy
Adam Zampa,BOWLER,Australia,14f96089,A Zampa,1b-abbrev-exact
Adil Rashid,BOWLER,England,249d60c9,AU Rashid,2-fuzzy
Agni Chopra,BATTER,India,e249fdaa,A Chopra,1b-abbrev-exact
Aiden Markram,BATTER,South Africa,6a26221c,AK Markram,2-fuzzy
Ajay Mandal,ALL-ROUNDER,India,31ee319e,Ajay Mandal,1-exact
Ajinkya Rahane,BATTER,India,29e95537,AM Rahane,2-fuzzy
Ajitesh Guruswamy,WICKETKEEPER,India,09a341f9,G Ajitesh,B-manual
Akash Deep,BOWLER,India,0a67aec0,Akash Deep,1-exact
Akash Madhwal,BOWLER,India,4bd09374,Akash Madhwal,1-exact
Akash Parkar,ALL-ROUNDER,India,f992200b,Akash Parkar,1-exact
Akash Vashisht,ALL-ROUNDER,India,35ccfdd4,Akash Vasisht,2-fuzzy
Akeal Hosein,BOWLER,West Indies,4d7f517e,AJ Hosein,2-fuzzy
Akshat Raghuwanshi,BATTER,India,d8d67045,Akshat Raghuwanshi,1-exact
Alex Carey,WICKETKEEPER,Australia,69d03465,AT Carey,2-fuzzy
Ali Khan,BOWLER,USA,b0eaaac6,Ali Khan,1-exact
Alick Athanaze,ALL-ROUNDER,West Indies,58c2fac4,A Athanaze,1b-abbrev-exact
Allah Ghazanfar,BOWLER,Afghanistan,9ca68676,AM Ghazanfar,2-fuzzy
Alzarri Joseph,BOWLER,West Indies,b0946605,AS Joseph,2-fuzzy
Aman Khan,ALL-ROUNDER,India,e27cff77,A Khan,B-manual
Amandeep Khare,BATTER,India,6c6cc94c,Amandeep Khare,1-exact
Andre Fletcher,WICKETKEEPER,West Indies,1bae756b,ADS Fletcher,2-fuzzy
Andre Russell,ALL-ROUNDER,West Indies,bbd41817,AD Russell,B-manual
Andrew Tye,BOWLER,Australia,7c7d63a2,AJ Tye,2-fuzzy
Angkrish Raghuvanshi,BATTER,India,d7017798,A Raghuvanshi,1b-abbrev-exact
Aniket Verma,BATTER,India,a3b0600d,Aniket Verma,1-exact
Anirudh Kanwar,BOWLER,India,6c8e4b0a,Anirudh Kanwar,1-exact
Ankit Singh Rajpoot,BOWLER,India,db31895a,AS Rajpoot,1b-abbrev-exact
Anmol Malhotra,WICKETKEEPER,India,f59e9ac9,Anmol Malhotra,1-exact
Anmolpreet Singh,BATTER,India,1399b39c,Anmolpreet Singh,1-exact
Anrich Nortje,BOWLER,South Africa,acdc62f5,A Nortje,1b-abbrev-exact
Anshul Kamboj,ALL-ROUNDER,India,fcc21ace,A Kamboj,1b-abbrev-exact
Anshuman Hooda,BOWLER,India,e4072aa1,AH Hooda,2-fuzzy
Anuj Rawat,WICKETKEEPER,India,c8f5f961,Anuj Rawat,1-exact
Anukul Roy,ALL-ROUNDER,India,e4cdf230,AS Roy,A-auto
Apoorv Wankhade,BATTER,India,5708d0b6,AV Wankhade,2-fuzzy
Arjun Tendulkar,BOWLER,India,44aac2f0,Arjun Tendulkar,1-exact
Arshdeep Singh,BOWLER,India,244048f6,Arshdeep Singh,1-exact
Arshin Kulkarni,ALL-ROUNDER,India,2d140b79,AA Kulkarni,A-auto
Aryan Juyal,WICKETKEEPER,India,5f2732f7,Aryan Juyal,1-exact
Ashok Sharma,BOWLER,India,50c09020,Ashok Sharma,1-exact
Ashton Agar,ALL-ROUNDER,Australia,a2421394,AC Agar,2-fuzzy
Ashton Turner,BATTER,Australia,ff1e12a0,AJ Turner,2-fuzzy
Ashutosh Sharma,ALL-ROUNDER,India,84d9c311,Ashutosh Sharma,1-exact
Ashwani Kumar,BOWLER,India,d45c29b1,Ashwani Kumar,1-exact
Ashwin Hebbar,BATTER,India,b11d8647,Ashwin Hebbar,1-exact
Atharva Ankolekar,ALL-ROUNDER,India,d6cd318e,Atharva Ankolekar,1-exact
Atharva Taide,BATTER,India,1ac746c8,Atharva Taide,1-exact
Atit Sheth,ALL-ROUNDER,India,4312e8f9,A Sheth,1b-abbrev-exact
Avesh Khan,BOWLER,India,eef2536f,Avesh Khan,1-exact
