player_id,player_name,country,primary_role
00029c30,M Mwamadi,Malawi,Bowler
00075cb5,MCE Manalo,Philippines,Batter
000803b1,Het Patel,Eswatini,Batter
0019ca13,Hongki Kim,South Korea,Batter
00321fff,Mohammad Ghazanfar,Hong Kong,Bowler
00335246,Parvez Sultan,,Bowler
003d49e6,JJ Bazley,,All-rounder
003e7738,Imtiaz Hossain,,Batter
003fe1d7,Vipin Kumar,,Bowler
00467a76,S Bodha,Gibraltar,Bowler
004c9e85,PJ Hughes,Australia,Batter
007113d7,HAM Shah,Denmark,Batter
00741bc7,ZC Qwabe,,Bowler
00755e00,S Delai,Fiji,Batter
00757ae7,K Suttisan,Thailand,Batter
0077eaa3,GD Pope,,Bowler
00784913,SV Lazars,,Bowler
0079f139,R Gaznavi,Singapore,Batter
00852db7,Rohit Dangwal,,Bowler
008589a4,CM Wright,Scotland,Bowler
0085a7ce,JFA Field,,Bowler
00863408,MTMMJ Ave,Cook Islands,Batter
008a024c,M Mooketsi,Botswana,Bowler
0095a0e3,Noah Mead,Samoa,Bowler
0095ce38,CJ Simmons,,Batter
00b195ae,TH Aspinwall,,Bowler
00b8db02,Asim Khurshid,United Arab Emirates,Batter
00c98c78,NH Ekanayake,Bahamas,Batter
00cada13,JDM Evison,,Bowler
00cda8e4,SM Elliott,,Bowler
00d69fa4,SO Tikolo,Kenya,Batter
00df8c9b,BADL Faunce,Greece,Batter
00ea847a,MA Agarwal,,Batter
010658fc,Ivan Splicevic,Croatia,Batter
010df582,N Saud,,Bowler
01127aa9,J Buchanan,Cayman Islands,Bowler
011b7b59,T Ota,Japan,Batter
011f6b42,RG Mukasa,Uganda,Batter
0126ff20,BJ Gibbon,,Bowler
012829ff,JW Hastings,Australia,All-rounder
0139ece0,M Wickramage,,Batter
014196ed,KGA Sampath,,Bowler
014da3d8,Paras Singh,Hong Kong,Bowler
01549705,J van Heerden,Germany,Batter
01561e94,N Fernandes,,Bowler
015dc0cd,K Mendon,Czech Republic,Batter
016188b4,RR Pawson,,Bowler
0164b064,MG Neser,,All-rounder
01679383,DB Loic,Cameroon,Batter
01698fee,Z Pongolo,,Bowler
016e5101,M Shezi,,Bowler
017e2f0d,Amogh Desai,,Batter
017faef2,Z Groenewald,Namibia,Bowler
0184dc35,R Dravid,India,Batter
0188fdc0,Yang Wangjie,China,Batter
018f6488,M Gouws,Gibraltar,Bowler
019ca34a,Shawaiz Irfan,,Batter
019d7ef5,Mohamed Turay,Sierra Leone,Bowler
019e7a95,GO Sopinho,Mozambique,Batter
01a95383,MD Taylor,,All-rounder
01ada0ed,A Nagwaswalla,,Bowler
01b0d0a4,J Proctor,Bermuda,Bowler
01b45044,Mohammad Amin,Kuwait,Batter
01c05b6c,RJ Hatchman,Gibraltar,Bowler
01d5f279,JA DeSilva,Bermuda,Batter
01dbf7cf,Sanjit Saha,,Bowler
01dc3ec0,P Botha,,Batter
0207ff32,TJ Prest,,Batter
020e49e9,AD Algar,Spain,Batter
020f0699,K Pathiratne,,Bowler
021ac4dd,H Aggarwal,Estonia,Batter
0226b73a,Imran Haider,United Arab Emirates,Bowler
023c40b8,Zhao Tianle,China,Batter
023f6b02,Nadeem Ahmed,Hong Kong,Bowler
024a173d,J Nyumbu,Zimbabwe,Batter
024aece0,MK Gohal,Philippines,Batter
024fe464,PD McGlashan,New Zealand,Batter
0251a22f,Abdul Bangalzai,,Batter
0251ee49,V Akash,,Bowler
025a092b,RH Patel,,Bowler
025c4400,MJ Suthar,,Bowler
025f79d1,R Pathak,Finland,Batter
02635912,S Tait,,Bowler
0264c10e,D Salunkhe,,Bowler
026e1314,Ali Yalmaz,Hungary,Batter
027662be,J Evans,Israel,Batter
02789d88,Shamsur Rahman,Bangladesh,Batter
02802468,Ali Nadeem,Canada,Batter
02888f23,A Donovan,Philippines,Batter
0295c92b,S Kavinda,,Bowler
029c4618,AL Fekete,,Bowler
02a6cb16,CRM Douglas,Bermuda,Batter
02b078b1,P Malav,Luxembourg,Bowler
02b25ee4,SS Ghosh,,Bowler
02b87bde,LW Potthoff,Croatia,Bowler
02b93a83,U Arshad,,Bowler
02ba80a0,J Merlo,,Batter
02bce9a8,NCR Larkin,,Batter
02c3024c,F Campbell,Gambia,Batter
02d0c9ae,Muhammad Asjed,Spain,Batter
02d11602,AA Banner,Belize,Batter
02df7b37,Nadeem Butt,Portugal,Batter
02dfebbe,Yash Raj Punja,,Bowler
02e83ac5,Naeem Islam,Bangladesh,Batter
02f4b99c,Aakarshit Gomel,,Batter
02fa5417,R Vishwanath,Luxembourg,Batter
02fe46ca,Jabran Khan,Denmark,Batter
030f3089,K Yadav,,Bowler
0319272d,K Nirmana,,Batter
031b389c,SS Bandekar,,Bowler
03244b87,K Wanniarachchi,,Batter
03252e44,PA Jaques,,Batter
032c7eab,Khaibar Deldar,Hungary,Batter
032e4384,T Bokako,,Bowler
0331c99a,Hassan Mehmood,Sweden,Batter
033ac24e,Shafiq Sharif,Malaysia,Wicketkeeper
033e9d59,Arjun Vinod,Switzerland,Batter
0348f9a5,TH Tector,Ireland,Batter
034b4b7d,VRV Singh,,Bowler
034d3c52,A Husain,Argentina,Bowler
03521fd3,HM Nicholls,New Zealand,Batter
035cb925,AG Prince,South Africa,Batter
036b8660,BKB Corbin,Cayman Islands,Batter
036dcf9b,Saber Zakhil,Belgium,Batter
036e7ed1,Jai Tiwari,Switzerland,Batter
0371cc19,K Govind,Seychelles,Bowler
0372c4c5,K L Shrijith,,Batter
037429dc,L Haskett,,Bowler
037bf4eb,Imran ullah Gul,Malaysia,Bowler
03806cf8,JR Hazlewood,Australia,Bowler
0388d3bd,G King,,Batter
0393fbdc,A Pusthay,Finland,Batter
0398f255,BJ Pomare,,Batter
039cabd9,TS Waqavakatoga,Fiji,Bowler
039f8170,K Takahashi,Japan,Bowler
03a83c50,V Viyaskanth,Sri Lanka,Bowler
03adc956,DB Lakhani,Sweden,Batter
03ae720f,MW Goodwin,,Batter
03b9ec54,E Packard,Gibraltar,Bowler
03be7a88,Kumar Nyompu,,Batter
03beb59f,Luis Hermida,Mexico,Batter
03c29939,Sharad Lumba,,Batter
03c94c2f,J Grzinic,Croatia,Batter
03ce2270,MA Widanapathirana,,Batter
03d3dd8e,AF Buurman,Netherlands,Batter
03df7a25,DA Douthwaite,,All-rounder
03ecfde2,Shoaib Khan,Germany,Batter
03ef382c,ZE Matsinhe,Mozambique,Bowler
03ff4a44,Salman Hossain,,Batter
04029c44,Munir Dar,Hong Kong,Bowler
0404d43c,Liton Das,Bangladesh,Wicketkeeper
040a03a6,Chen Liang,China,Batter
041db176,B Botcha,Mali,Batter
0420f51f,AG Rao,,Batter
04420914,P Zuze,Malawi,Batter
0443414a,Sajedul Islam,Bangladesh,Bowler
04539335,D Wheatley,Bahamas,Batter
045cd23a,JL Lambourdiere,France,Batter
04628837,Sagor Hossain,Czech Republic,Batter
0467bd8d,Ranjit Singh,Austria,Batter
0474fd64,KB Patil,Mexico,Batter
047d9032,JJ Krejza,,Bowler
047e80ca,Sabbir Hossain,,Batter
047fc26e,Neelam Obi,,Batter
0480aba6,Enamul Haque jnr,,Bowler
0482c3ad,JB van der Merwe,,Batter
04855b85,K Vislapuu,Estonia,Bowler
0494fa6e,Vishnu Vinod,,Batter
04a418e8,R Parag,India,All-rounder
04a5b56e,OA Ramela,,Batter
04ab1575,S Ivetic,Serbia,Batter
04bc296f,D Sabir,Bermuda,Bowler
04c73935,MS Silva,,Batter
04cd8289,AN Longchar,,Batter
04cf2e94,A Morris,Cayman Islands,Bowler
04df9697,JAM Henri,Portugal,Bowler
04e0cdec,R Lutaaya,Uganda,Batter
04ed04d2,Ali Zaheer,Kuwait,Batter
04ef663a,WG Bosisto,,Batter
04f0d409,S Pradhan,Bhutan,Batter
04f4f2e1,Saqib Ali,United Arab Emirates,Batter
050bdc77,Azin Rafeeg,Maldives,Batter
05257527,S Chohan,Panama,Batter
052b014c,D Asghar,Norway,Batter
0538bbaa,S Dangamuwa,,Batter
053f3ce3,D Ravu,Papua New Guinea,Bowler
0544b8a9,SMHH Aung,Myanmar,Batter
05464bcd,Kanchana de Livera,,Batter
054fc648,F Lalmuanzuala,,Batter
055328c3,C Egerton,,Batter
055be93a,HTRY Thornton,,Bowler
055e8d7b,NJ van den Bergh,,Batter
056b433b,Ishtiaq Ahmad,Saudi Arabia,Bowler
056e3558,A Augastin,Tanzania,Batter
056f58dd,KC Hodsoll,Bermuda,Bowler
05978f8d,Gulam Mustafa,Saudi Arabia,Batter
059ec7a5,B Kgosiemang,Botswana,Bowler
05b1aef8,NG Smith,New Zealand,All-rounder
05c2ca46,RE van der Merwe,Netherlands,All-rounder
05c7a444,HS Desai,,Batter
05cf8905,Shakerullah Safi,Denmark,Bowler
05d4c10d,JTA Benton,,Bowler
05d74535,Saeed Ajmal,Pakistan,Bowler
05d9e607,Aditya Singh,,Batter
05de1a5a,GC Wilson,Ireland,Wicketkeeper
05e0fab5,CS Martin,New Zealand,Bowler
05ea0342,J Dzulfikar,Indonesia,Batter
05f85159,J Manley,,Bowler
05f96194,MA Jones,Scotland,Batter
0604ef16,SB Bangar,,Bowler
0605de92,HD Rutherford,New Zealand,Batter
0637aa94,Nazmul Hossain Milon,,Batter
063870fc,SR Santhanam,United States of America,Batter
063b3673,DH Yagnik,,Wicketkeeper
0677d2ad,AP Richardson,,Bowler
067bda18,S Conners,,Bowler
