year,player_id,player_name,value_score,price_cr
2011,3c6ffae8,Yusuf Pathan,66.3,9.45
2011,1c17e270,Robin Uthappa,64.7,9.45
2011,5fa06777,Irfan Pathan,62.5,8.55
2011,4a8a2e3b,Mahendra Singh Dhoni,69.6,8.1
2011,8ba8195d,Virender Sehwag,71.1,8.1
2011,d2c2b2d5,Sachin Tendulkar,68.4,8.1
2011,bb18be76,Shane Warne,53.0,8.1
2011,ba607b88,Virat Kohli,56.9,8.1
2011,1c914163,Yuvraj Singh,66.4,8.1
2011,709b0bac,Saurabh Tiwary,57.4,7.2
2011,d18f9182,Mahela Jayawardene,82.5,6.75
2011,fd835ab3,David Hussey,77.0,6.3
2011,1dc12ab9,Suresh Raina,82.8,5.85
2011,4329fbb5,Shane Watson,71.4,5.85
2011,8fd1a8f5,Dale Steyn,57.3,5.4
2011,86dc8f2e,Jacques Kallis,41.0,4.95
2011,c4487b84,AB de Villiers,59.1,4.95
2011,4ba44e19,Muttiah Muralitharan,72.8,4.95
2011,7c503806,Johan Botha,69.2,4.28
2011,896d78ad,Angelo Mathews,64.9,4.28
2011,fe93fd9d,Ravindra Jadeja,37.3,4.28
2011,a757b0d8,Kieron Pollard,39.0,4.05
2011,c03f1114,Dinesh Karthik,44.8,4.05
2011,98ae73b1,Piyush Chawla,52.2,4.05
2011,6b8eb6e5,Sreesanth,24.3,4.05
2011,2b6e6dec,Adam Gilchrist,69.2,4.05
2011,96fd40ae,Ashish Nehra,73.9,3.83
2011,bd77eb62,Andrew Symonds,64.8,3.83
2011,3576e47e,Subramaniam Badrinath,46.6,3.6
2011,a45a5e8d,Abhishek Nayar,52.8,3.6
2011,dcce6f09,David Warner,59.5,3.38
2011,6b71e6cf,Kumar Sangakkara,67.2,3.15
2011,39f01cdb,Kevin Pietersen,73.3,2.93
2011,d7c6af50,Daniel Vettori,68.1,2.48
2011,c3d35165,Albie Morkel,60.5,2.25
2011,0184dc35,Rahul Dravid,58.1,2.25
2011,72861603,Graeme Smith,47.1,2.25
2011,7dc35884,Shakib Al Hasan,68.1,1.91
2011,48fd7349,Michael Hussey,87.3,1.91
2011,dd09ff8e,Brett Lee,45.6,1.8
2011,d2a6c0e6,Eoin Morgan,74.6,1.58
2011,0a476045,Shikhar Dhawan,19.7,1.35
2012,fe93fd9d,Ravindra Jadeja,49.1,9.8
2012,d18f9182,Mahela Jayawardene,68.2,6.86
2012,b8a55852,Brendon McCullum,71.1,4.41
2012,b57f8a9a,Brad Hodge,54.2,2.33
2012,6b8eb6e5,S Sreesanth,21.4,1.96
2012,f5180fe6,Mitchell Johnson,59.4,1.47
2012,4ba44e19,Muttiah Muralitharan,56.1,1.08
2012,5d096f3d,Ramesh Powar,27.9,0.78
2012,e1d1b294,Herschelle Gibbs,45.3,0.25
2013,ea0cdc12,Ajantha Mendis,99.1,5.44
2013,a45a5e8d,Abhishek Nayar,34.8,5.06
2013,c404f58a,Dirk Nannes,51.7,4.5
2013,ae78bc32,Manpreet Gony,11.5,3.75
2013,7c503806,Johan Botha,58.7,3.38
2013,c03c6200,Darren Sammy,53.9,3.19
2013,7d415ea5,Ricky Ponting,66.7,2.18
2013,d68e7f48,Ravi Rampaul,46.4,2.18
2013,91ffa6c6,Jesse Ryder,48.5,1.95
2013,a7c226e1,Fidel Edwards,23.6,1.58
2013,2a2e6343,Daniel Christian,50.3,0.75
2013,5673a3fc,Nathan McCullum,54.7,0.75
2013,3eac9d95,Jacob Oram,53.0,0.38
2014,1c914163,Yuvraj Singh,74.1,14.0
2014,4a8a2e3b,Mahendra Singh Dhoni,81.0,12.5
2014,4329fbb5,Shane Watson,77.3,12.5
2014,ba607b88,Virat Kohli,73.2,12.5
2014,d67d5f00,David Miller,69.3,12.5
2014,0a476045,Shikhar Dhawan,65.4,12.5
2014,c03f1114,Dinesh Karthik,45.3,12.5
2014,1dc12ab9,Suresh Raina,86.7,9.5
2014,808f425a,James Faulkner,61.2,9.5
2014,db584dad,Chris Gayle,86.0,9.5
2014,9d430b40,Sunil Narine,95.1,9.5
2014,8fd1a8f5,Dale Steyn,80.8,9.5
2014,39f01cdb,Kevin Pietersen,86.3,9.0
2014,495d42a5,Ravichandran Ashwin,60.2,7.5
