S.No,Set,Full Name,Country,Age,Role,Batting Hand,Bowling Style,Capped/Uncapped,Base-Price
1,M1,Ruturaj Gaikwad,India,27,BATTER,RHB,RIGHT ARM Off Spin,Capped,200
2,M2,Ravindra Jadeja,India,35,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,200
3,AL1,Shivam Dube,India,31,ALL-ROUNDER,LHB,RIGHT ARM Medium,Capped,200
4,B1,Matheesha Pathirana,Sri Lanka,21,BOWLER,RHB,RIGHT ARM Fast,Capped,200
5,M1,MS Dhoni,India,43,WICKETKEEPER,RHB,RIGHT ARM Medium,Uncapped,200
6,M1,Axar Patel,India,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Capped,200
7,M2,Kuldeep Yadav,India,29,BOWLER,LHB,LEFT ARM Unorthodox,Capped,200
8,BA2,Tristan Stubbs,South Africa,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,Capped,200
9,WK1,Abishek Porel,India,22,WICKETKEEPER,LHB,,Uncapped,200
10,M2,Rashid Khan,Afghanistan,26,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,200
11,M2,Shubman Gill,India,25,BATTER,RHB,RIGHT ARM Off Spin,Capped,200
12,BA1,B Sai Sudharsan,India,23,BATTER,LHB,RIGHT ARM Leg Spin,Capped,200
13,AL2,Rahul Tewatia,India,31,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,Uncapped,200
14,BA3,Shahrukh Khan,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,200
15,M1,Sunil Narine,West Indies,36,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Capped,200
16,BA1,Rinku Singh,India,27,BATTER,LHB,RIGHT ARM Off Spin,Capped,200
17,M1,Varun Chakaravarthy,India,33,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,200
18,M1,Andre Russell,West Indies,36,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,200
19,FA1,Harshit Rana,India,22,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,200
20,AL3,Ramandeep Singh,India,27,ALL-ROUNDER,RHB,RIGHT ARM Medium,Uncapped,200
